TimeStamp - 2021-03-10_12-43-42-998   |    CPU Utilization - 100   |    Memory Utilization - 3840   |    Package Temperature - 89   |    Max Core Frequency - 2.4708305829289261006423792486   |    Processor Cache Frequency - 2.5946585051162790697674418604   |    Processor Graphics Frequency - 1097.7401367799642218246869409   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.668565882066389328243236829   |    Core 0 Frequency - 2.47591333866767   |    Core 1 Frequency - 2.47591715940565
TimeStamp - 2021-03-10_12-43-44-509   |    CPU Utilization - 100   |    Memory Utilization - 3840   |    Package Temperature - 86   |    Max Core Frequency - 2.5158769254387873186974432625   |    Processor Cache Frequency - 2.5926723637588652482269503547   |    Processor Graphics Frequency - 1096.8998462056737588652482270   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.169444734241129501301928208   |    Core 0 Frequency - 2.52298751572963   |    Core 1 Frequency - 2.52298592946004
TimeStamp - 2021-03-10_12-43-45-907   |    CPU Utilization - 100   |    Memory Utilization - 3840   |    Package Temperature - 89   |    Max Core Frequency - 2.5152843504222166564982815884   |    Processor Cache Frequency - 2.5950771844043321299638989170   |    Processor Graphics Frequency - 1097.9172703249097472924187726   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.727970793529251007103385754   |    Core 0 Frequency - 2.52005324297488   |    Core 1 Frequency - 2.52005580042078
TimeStamp - 2021-03-10_12-43-47-607   |    CPU Utilization - 100   |    Memory Utilization - 3839   |    Package Temperature - 84   |    Max Core Frequency - 2.4815311880731877237097908848   |    Processor Cache Frequency - 2.5943183636234458259325044406   |    Processor Graphics Frequency - 1097.5962307637655417406749556   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.604360996419828308340021388   |    Core 0 Frequency - 2.53791987842039   |    Core 1 Frequency - 2.5379498601786
TimeStamp - 2021-03-10_12-43-49-144   |    CPU Utilization - 100   |    Memory Utilization - 3839   |    Package Temperature - 89   |    Max Core Frequency - 2.5029593812786297312491925466   |    Processor Cache Frequency - 2.4949648447204968944099378882   |    Processor Graphics Frequency - 1097.7845316770186335403726708   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.516439226923871795927317085   |    Core 0 Frequency - 2.50801067054617   |    Core 1 Frequency - 2.50800888907452
TimeStamp - 2021-03-10_12-43-50-860   |    CPU Utilization - 100   |    Memory Utilization - 3836   |    Package Temperature - 90   |    Max Core Frequency - 2.4481004518441105071599073909   |    Processor Cache Frequency - 2.5928410697061442564559216384   |    Processor Graphics Frequency - 1096.9524636524822695035460993   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.66869920255879463079625892   |    Core 0 Frequency - 2.45485843016409   |    Core 1 Frequency - 2.45485974792742
TimeStamp - 2021-03-10_12-43-52-437   |    CPU Utilization - 100   |    Memory Utilization - 3836   |    Package Temperature - 89   |    Max Core Frequency - 2.4575987083604232934580054103   |    Processor Cache Frequency - 2.1921095637150586113615870153   |    Processor Graphics Frequency - 1096.0547818575293056807935077   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.080948206975623904269563568   |    Core 0 Frequency - 2.46644146549626   |    Core 1 Frequency - 2.46644476530176
TimeStamp - 2021-03-10_12-43-53-520   |    CPU Utilization - 100   |    Memory Utilization - 3835   |    Package Temperature - 88   |    Max Core Frequency - 2.4734945436371616300129009009   |    Processor Cache Frequency - 2.5967693486846846846846846847   |    Processor Graphics Frequency - 1098.6331859819819819819819820   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.070505489666706228468620286   |    Core 0 Frequency - 2.47657043731941   |    Core 1 Frequency - 2.4765718282658
TimeStamp - 2021-03-10_12-43-55-015   |    CPU Utilization - 100   |    Memory Utilization - 3835   |    Package Temperature - 89   |    Max Core Frequency - 2.5078716889736220004300838537   |    Processor Cache Frequency - 2.5948421538626226583407671722   |    Processor Graphics Frequency - 1097.8178343264942016057091882   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.070611793589089454315340977   |    Core 0 Frequency - 2.51285666129063   |    Core 1 Frequency - 2.51285491619984
TimeStamp - 2021-03-10_12-43-56-509   |    CPU Utilization - 100   |    Memory Utilization - 3835   |    Package Temperature - 89   |    Max Core Frequency - 2.4249741714973173307191714286   |    Processor Cache Frequency - 2.5906383712857142857142857144   |    Processor Graphics Frequency - 1096.0393109285714285714285715   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.426060798070029828976314728   |    Core 0 Frequency - 2.43373696875236   |    Core 1 Frequency - 2.43373714979908
