TimeStamp - 2021-03-10_11-28-52-177   |    CPU Utilization - 100   |    Memory Utilization - 3828   |    Package TDP - 14.272397119578493972782965545   |    Max Core Frequency - 2.3512039876170782182385907472   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5927479004982206405693950176   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.9318040569395017793594305
TimeStamp - 2021-03-10_11-28-53-816   |    CPU Utilization - 100   |    Memory Utilization - 3828   |    Package TDP - 14.272397119578493972782965545   |    Max Core Frequency - 2.4255495530699219068411065354   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 83   |    Processor Cache Frequency - 2.5942016015040286481647269472   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.5468314055505819158460161
TimeStamp - 2021-03-10_11-28-55-234   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 14.210395157819069935136000495   |    Max Core Frequency - 2.3730133791550909092538932385   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.0975307975800711743772241994   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.7066082562277580071174378
TimeStamp - 2021-03-10_11-28-57-051   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 14.379403360548979877933805492   |    Max Core Frequency - 2.3208289476850233233990638298   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2946071638963360142984807864   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.4208175156389633601429848
TimeStamp - 2021-03-10_11-28-58-561   |    CPU Utilization - 100   |    Memory Utilization - 3826   |    Package TDP - 14.058055952282994071152825476   |    Max Core Frequency - 2.3960047563735250728772524532   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2955109498661909009812667262   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8530629794826048171275647
TimeStamp - 2021-03-10_11-28-59-762   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package TDP - 14.068041191008654577150241255   |    Max Core Frequency - 2.3080571159914695837379182949   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 90   |    Processor Cache Frequency - 2.2935187356305506216696269983   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.9002648667850799289520427
TimeStamp - 2021-03-10_11-29-01-547   |    CPU Utilization - 100   |    Memory Utilization - 3828   |    Package TDP - 14.102409725178183155097545741   |    Max Core Frequency - 2.4386350756258132690398   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.196404386   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.2021930
TimeStamp - 2021-03-10_11-29-02-986   |    CPU Utilization - 100   |    Memory Utilization - 3826   |    Package TDP - 14.008771672245310818806893106   |    Max Core Frequency - 2.2995519723362900983156586667   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 90   |    Processor Cache Frequency - 1.9948313237333333333333333334   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.1572280533333333333333334
TimeStamp - 2021-03-10_11-29-04-531   |    CPU Utilization - 100   |    Memory Utilization - 3821   |    Package TDP - 13.722914888110489013865652247   |    Max Core Frequency - 2.4218471083028362648139465239   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.293443361711229946524064171   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.8642164705882352941176470
TimeStamp - 2021-03-10_11-29-06-044   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package TDP - 14.39102740626808396550441872   |    Max Core Frequency - 2.322312130104240108177   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 91   |    Processor Cache Frequency - 2.195891390   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9456950
