TimeStamp - 2021-03-10_12-23-38-502   |    CPU Utilization - 100   |    Memory Utilization - 3807   |    Package Temperature - 88   |    Max Core Frequency - 2.4566164677943972656545396259   |    Processor Cache Frequency - 2.5968236464470169189670525378   |    Processor Graphics Frequency - 1098.6561581121994657168299198   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.533604002393479190427429999   |    Core 0 Frequency - 2.45961631538353   |    Core 1 Frequency - 2.45962132430688
TimeStamp - 2021-03-10_12-23-40-165   |    CPU Utilization - 100   |    Memory Utilization - 3808   |    Package Temperature - 89   |    Max Core Frequency - 2.5024505002262276302371097234   |    Processor Cache Frequency - 2.5947780635147190008920606600   |    Processor Graphics Frequency - 1097.7907191793041926851025869   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.452405389130815802935859134   |    Core 0 Frequency - 2.5074866294249   |    Core 1 Frequency - 2.50748557437928
TimeStamp - 2021-03-10_12-23-41-376   |    CPU Utilization - 100   |    Memory Utilization - 3809   |    Package Temperature - 90   |    Max Core Frequency - 2.4155993759806451524917544485   |    Processor Cache Frequency - 2.5910897083985765124555160143   |    Processor Graphics Frequency - 1097.8136239358860195903829030   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.238877204530391808864356179   |    Core 0 Frequency - 2.42390618788393   |    Core 1 Frequency - 2.42390591023174
TimeStamp - 2021-03-10_12-23-43-147   |    CPU Utilization - 100   |    Memory Utilization - 3807   |    Package Temperature - 91   |    Max Core Frequency - 2.4230150602524820497103900268   |    Processor Cache Frequency - 2.39443623168   |    Processor Graphics Frequency - 1097.449939520   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.179975961153127792302346361   |    Core 0 Frequency - 2.50429532256973   |    Core 1 Frequency - 2.50429785853278
TimeStamp - 2021-03-10_12-23-44-380   |    CPU Utilization - 100   |    Memory Utilization - 3799   |    Package Temperature - 89   |    Max Core Frequency - 2.4157695280840680007173092225   |    Processor Cache Frequency - 2.2934430917902350813743218807   |    Processor Graphics Frequency - 1096.8640873779385171790235082   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.14405454015561634245807357   |    Core 0 Frequency - 2.42267616514356   |    Core 1 Frequency - 2.42267439338022
TimeStamp - 2021-03-10_12-23-46-118   |    CPU Utilization - 100   |    Memory Utilization - 3791   |    Package Temperature - 90   |    Max Core Frequency - 2.3953397959292864037250780141   |    Processor Cache Frequency - 2.5948872788652482269503546098   |    Processor Graphics Frequency - 1097.8369256737588652482269503   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.402281394559806041378260366   |    Core 0 Frequency - 2.40005934752573   |    Core 1 Frequency - 2.4000592608251
TimeStamp - 2021-03-10_12-23-47-871   |    CPU Utilization - 100   |    Memory Utilization - 3786   |    Package Temperature - 88   |    Max Core Frequency - 2.3812343675250089122879715302   |    Processor Cache Frequency - 1.8960340427758007117437722419   |    Processor Graphics Frequency - 1097.7039195017793594306049822   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.05292644554467710903972368   |    Core 0 Frequency - 2.38621234115002   |    Core 1 Frequency - 2.3862152241074
TimeStamp - 2021-03-10_12-23-49-591   |    CPU Utilization - 100   |    Memory Utilization - 3795   |    Package Temperature - 90   |    Max Core Frequency - 2.3256812779658335258651178572   |    Processor Cache Frequency - 2.5947672706428571428571428572   |    Processor Graphics Frequency - 1097.7861529642857142857142857   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 13.957323115178720222954889011   |    Core 0 Frequency - 2.33037135589161   |    Core 1 Frequency - 2.33032709769547
TimeStamp - 2021-03-10_12-23-51-268   |    CPU Utilization - 100   |    Memory Utilization - 3788   |    Package Temperature - 89   |    Max Core Frequency - 2.4156569493668960903768334816   |    Processor Cache Frequency - 2.5950440725581395348837209303   |    Processor Graphics Frequency - 1097.9032614669051878354203936   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.814630382280686125870794655   |    Core 0 Frequency - 2.43055914530222   |    Core 1 Frequency - 2.43056083506673
TimeStamp - 2021-03-10_12-23-52-617   |    CPU Utilization - 100   |    Memory Utilization - 3799   |    Package Temperature - 88   |    Max Core Frequency - 2.427989531653406296494745946   |    Processor Cache Frequency - 2.5943399302342342342342342343   |    Processor Graphics Frequency - 1097.6053550990990990990990991   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.568452516955936085690362503   |    Core 0 Frequency - 2.43328497180999   |    Core 1 Frequency - 2.43328667486103
TimeStamp - 2021-03-10_12-23-54-298   |    CPU Utilization - 100   |    Memory Utilization - 3798   |    Package Temperature - 89   |    Max Core Frequency - 2.4501529460128895356512600537   |    Processor Cache Frequency - 2.2938539223235031277926720287   |    Processor Graphics Frequency - 1097.0605715460232350312779268   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.733294001107517620306807969   |    Core 0 Frequency - 2.4567178062156   |    Core 1 Frequency - 2.45671496766479
TimeStamp - 2021-03-10_12-23-55-544   |    CPU Utilization - 100   |    Memory Utilization - 3798   |    Package Temperature - 90   |    Max Core Frequency - 2.305302473039719688967494212   |    Processor Cache Frequency - 2.4961193642030276046304541408   |    Processor Graphics Frequency - 1097.1593156036036036036036036   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.214504440958329188887434993   |    Core 0 Frequency - 2.30888645200644   |    Core 1 Frequency - 2.30888080999135
